Référence offre;Intitule;Poste;Secteur activité;Entreprise;Type d'entreprise;Lieu;Groupe de contrat;Type contrat;Date de publication ;Mois;Trimestre
JOB250001038;AGENTS DE RELATIONS CLIENTS ;1;"Commerce, Vente, Marketing & Distribution";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001039;RESPONSABLE DE NUIT ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001040;SUPERVISEUR RECEPTION ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001041;Technicien climatisation;1;"Industrie, Production & Maintenance";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001042;AGENT DE SECURITE;1;"Sécurité, Sûreté & Défense";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001043;Technicien cuisine & Blanchisserie;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001044;CONCIERGE;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001045;Réceptionniste ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001046;SUPERVISEUR BLANCHISSERIE ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;6/5/2025;Mai;T2
JOB250001048;Technicien piscine;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001050;Technicien chaudière;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001051;OPERATEUR VIDEOSURVEILLANCE;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001052;REPASSEUR;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001053;Peintre ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001054;CHARGE DE L'HEBERGEMENT DES EMPLOYES ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001055;Polisseur;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001056;Superviseur Réservations ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001057;Spa Thérapeute ;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001058;RESPONSABLE BAGAGISTE;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001059;Maçon ;1;"Bâtiment, Travaux Publics & Aménagement du Territoire";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001060;SUPERVISEUR DES ESPACES PUBLICS;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001061;SUPERVISEUR DES JARDINIERS;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001062;COUTURIER;1;Hôtellerie - Restauration;AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001064;SUPERVISEUR DU CREDIT ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001065;EMPLOYER AUX COMPTES CLIENTS ;1;"Finance, Banque, Assurance, Comptabilité & Fiscalité";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001066;COORDINATEUR ACHATS ;1;"Transport, Logistique & Supply Chain";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001067;EMPLOYER MAGASIN ;1;"Commerce, Vente, Marketing & Distribution";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001068;MAGASINIER ;1;"Transport, Logistique & Supply Chain";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001069;EMPLOYÉ RÉCEPTION DES MARCHANDISES ;1;"Transport, Logistique & Supply Chain";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001070;RESPONSABLE FORMATION ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001071;INFIRMIER;1;"Santé, Pharmacie & Recherche Scientifique";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001072;CHARGÉ DES RELATIONS GOUVERNEMENTALES ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
JOB250001073;COORDINATEUR RESSOURCES HUMAINES ;1;"Conseil, Stratégie & Gestion des Ressources Humaines";AL OTHMAN REAL ESTATE GROUP;Entreprise Privée;BRAZZAVILLE;Emploi Temporaire;CDD;7/5/2025;Mai;T2
