candidate_id;job_id
CAN096;JOB250002475
CAN097;NONREF000221
CAN097;JOB250002438
CAN097;JOB250002532
CAN098;NONREF000228
CAN098;NONREF000229
CAN098;JOB250001753
CAN099;NONREF000221
CAN099;STG250000939
CAN099;JOB250002692
CAN100;JOB250001650
CAN100;JOB250002720
CAN100;JOB250001872
